Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","199239.05","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2011","2011","1000 No","203746.06","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2012","2012","1000 No","207667.12","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2013","2013","1000 No","211073.98","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2014","2014","1000 No","214264.65","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","217290.88","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2016","2016","1000 No","220138.87","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2017","2017","1000 No","223273.97","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","226928.89","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","230800.9","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","235001.75","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","239477.8","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2022","2022","1000 No","243700.67","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2023","2023","1000 No","247504.5","X","Figure from external organization",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2010","2010","1000 t","23331","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2010","2010","1000 t","220","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2010","2010","1000 t","-1111","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2010","2010","1000 t","27","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2010","2010","1000 t","24634","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2010","2010","1000 t","19","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2010","2010","1000 t","1282","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5123","Losses","S2511","Wheat and products","2010","2010","1000 t","585","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5131","Processing","S2511","Wheat and products","2010","2010","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5154","Other uses (non-food)","S2511","Wheat and products","2010","2010","1000 t","6","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5170","Residuals","S2511","Wheat and products","2010","2010","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5142","Food","S2511","Wheat and products","2010","2010","1000 t","22736","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2010","2010","kg/cap","114.12","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2010","2010","kcal/cap/d","996.09","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","661","Food supply (kcal)","S2511","Wheat and products","2010","2010","million Kcal","72437550.54","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2010","2010","g/cap/d","32.48","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2010","2010","t","2362122.78","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2010","2010","g/cap/d","5.26","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2010","2010","t","382427.79","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2011","2011","1000 t","25228","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2011","2011","1000 t","71","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2011","2011","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2011","2011","1000 t","3495","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2011","2011","1000 t","21804","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2011","2011","1000 t","3","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2011","2011","1000 t","1400","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5123","Losses","S2511","Wheat and products","2011","2011","1000 t","631","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5131","Processing","S2511","Wheat and products","2011","2011","1000 t","3","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5154","Other uses (non-food)","S2511","Wheat and products","2011","2011","1000 t","5","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5170","Residuals","S2511","Wheat and products","2011","2011","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5142","Food","S2511","Wheat and products","2011","2011","1000 t","19762","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2011","2011","kg/cap","96.99","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2011","2011","kcal/cap/d","848.06","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","661","Food supply (kcal)","S2511","Wheat and products","2011","2011","million Kcal","63068187.66","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2011","2011","g/cap/d","27.73","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2011","2011","t","2061985.7","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2011","2011","g/cap/d","4.49","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2011","2011","t","333956.4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2012","2012","1000 t","23489","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2012","2012","1000 t","103","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2012","2012","1000 t","-1490","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2012","2012","1000 t","1193","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2012","2012","1000 t","23889","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2012","2012","1000 t","3","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2012","2012","1000 t","1291","I","Value imputed by a receiving agency",""
